,,title,username,displayname,versionnumber,totallines,competitionTitle,competitionSubTitle
236,,"Fastai with ? Transformers (BERT, RoBERTa ...)",maroberti,Maximilien Roberti,17,588,Sentiment Analysis on Movie Reviews,Classify the sentiment of sentences from the Rotten Tomatoes dataset
237,,QA EDA and NLP Modelling - Insights&Vis&Bert,kabure,Leonardo Ferreira,16,888,Google QUEST Q&A Labeling,Improving automated understanding of complex question answer content
238,,Natural Language Processing - Theory and practice,zikazika,Noah Weber,17,944,Quora Insincere Questions Classification,Detect toxic content to improve online conversations
239,https://www.kaggle.com/code/aman2000jaiswal/real-nlp-disaster-tweets/notebook,Real NLP Disaster Tweets,aman2000jaiswal,aman2000jaiswal,14,850,Tweet Sentiment Extraction,Extract support phrases for sentiment labels
240,,RomanticReviews:MoodRing+DirectedGraph+Ngram+LDA,arindamgot,Arindam,14,1290,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset
241,,Deep Learning with R: Sentiment Analysis,taindow,Tom Aindow,16,600,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset
242,https://www.kaggle.com/code/kashnitsky/distillbert-catalyst-amazon-product-reviews/notebook,DistillBert + Catalyst | amazon product reviews,kashnitsky,Yury Kashnitsky,11,447,Amazon pet product reviews classification,Explore semi-supervised and transfer learning for NLP
243,,Rotten Reviews,ambarish,Bukun,12,475,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset
244,https://www.kaggle.com/code/akashram/intro-to-boosting-models-categorical-data-nlp/notebook,Intro to Boosting Models + Categorical data + NLP,akashram,AR,11,1247,OSIC Pulmonary Fibrosis Progression,
245,https://www.kaggle.com/code/oragula/sentiment-analysis-rotten-tomato-movie-reviews/notebook,Sentiment Analysis: Rotten Tomato Movie Reviews,oragula,Raivis J,12,471,Sentiment Analysis on Movie Reviews,Classify the sentiment of sentences from the Rotten Tomatoes dataset
246,https://www.kaggle.com/code/protan/ignite-example/notebook,Ignite example,protan,Anton Protopopov,12,532,DL in NLP Spring 2019. Classification,
247,https://www.kaggle.com/code/hamishdickson/cnn-for-sentence-classification-by-yoon-kim/notebook,CNN for Sentence Classification by Yoon Kim,hamishdickson,Hamish,15,511,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset
248,https://www.kaggle.com/code/nandhuelan/google-quest-for-nlp-v7/notebook,Google_Quest for NLP_V7,nandhuelan,Nandhu Elango,16,771,Google QUEST Q&A Labeling,Improving automated understanding of complex question answer content
249,,First NLP Analysis,kihunkim,Kihun,18,1011,Tweet Sentiment Extraction,Extract support phrases for sentiment labels
250,https://www.kaggle.com/code/keyit92/sentiment-cnn-rnn-atte-rnn-cnn-rnn-hiercnn/notebook,"Sentiment CNN, RNN-Atte, RNN-CNN, RNN-HierCNN",keyit92,Keyi Tang,19,1081,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset
251,https://www.kaggle.com/code/josh24990/deep-learning-for-sentiment-analysis-top-25/notebook,Deep Learning for Sentiment Analysis - Top 25%,josh24990,Joshua Reed,20,433,Movie Review Sentiment Analysis (Kernels Only),Classify the sentiment of sentences from the Rotten Tomatoes dataset
252,https://www.kaggle.com/code/jmourad100/nlp-text-analytics-quora-insincere-questions/notebook,NLP text analytics - Quora Insincere Questions,jmourad100,JM100,23,500,Quora Insincere Questions Classification,Detect toxic content to improve online conversations
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"															",,,,,,,,
"															",,,,,,,,
"															",,,,,,,,
"															",,,,,,,,
"															",,,,,,,,
"															",,,,,,,,
